Country’s Storied Roots Meets Contemporary Talent in Spotify’s Latest Playlist, Indigo	MARCH 31, 2020	https://newsroom.spotify.com/2020-03-31/countrys-storied-roots-meets-contemporary-talent-in-spotifys-latest-playlist-indigo/
What’s New This Week in Spotify Podcasts	MARCH 27, 2020	https://newsroom.spotify.com/2020-03-27/whats-new-this-week-in-spotify-podcasts-7/
Here’s What Parents Around the World Have Been Playing for Their Kids at Home	MARCH 27, 2020	https://newsroom.spotify.com/2020-03-27/heres-what-parents-around-the-world-have-been-playing-for-their-kids-at-home/
NASA Astronaut Christina Koch Shares How Music and Podcasts Made Groundbreaking Trip Extra-Stellar	MARCH 23, 2020	https://newsroom.spotify.com/2020-03-23/nasa-astronaut-christina-koch-shares-how-music-and-podcasts-made-groundbreaking-trip-extra-stellar/
What’s New This Week in Spotify Podcasts	MARCH 20, 2020	https://newsroom.spotify.com/2020-03-20/whats-new-this-week-in-spotify-podcasts-6/
What’s New This Week in Spotify Podcasts	MARCH 13, 2020	https://newsroom.spotify.com/2020-03-13/whats-new-this-week-in-spotify-podcasts-5/
‘Cheer’s’ Monica Aldama and Andy Cosferent Take Us to the Mat and Behind the Music	MARCH 12, 2020	https://newsroom.spotify.com/2020-03-12/cheers-monica-aldama-and-andy-cosferent-take-us-to-the-mat-and-behind-the-music/
“Own It,” Says Diane von Furstenberg, Host of Spotify’s New ‘InCharge with DVF’ Podcast	MARCH 12, 2020	https://newsroom.spotify.com/2020-03-12/own-it-says-diane-von-furstenberg-host-of-spotifys-new-incharge-with-dvf-podcast/
How to Customize and Share Your Spotify Profile	MARCH 10, 2020	https://newsroom.spotify.com/2020-03-10/how-to-customize-and-share-your-spotify-profile/
36 New Artists Around the World That Are on Spotify’s RADAR	MARCH 9, 2020	https://newsroom.spotify.com/2020-03-09/36-new-artists-around-the-world-that-are-on-spotifys-radar/
Get to Your Favorites Faster with Spotify’s New Home Screen	MARCH 9, 2020	https://newsroom.spotify.com/2020-03-09/get-to-your-favorites-faster-with-spotifys-new-home-screen/
What’s New This Week in Spotify Podcasts	MARCH 6, 2020	https://newsroom.spotify.com/2020-03-06/whats-new-this-week-in-spotify-podcasts-4/
This International Women’s Day, Stream the Top Female Voices on Spotify	MARCH 4, 2020	https://newsroom.spotify.com/2020-03-04/this-international-womens-day-stream-the-top-female-voices-on-spotify/
Spotify Premium and Chase Are Teaming Up to Help You Get More	MARCH 2, 2020	https://newsroom.spotify.com/2020-03-02/spotify-premium-and-chase-are-teaming-up-to-help-you-get-more/
What’s New This Week in Spotify Podcasts	FEBRUARY 28, 2020	https://newsroom.spotify.com/2020-02-28/whats-new-this-week-in-spotify-podcasts-3/
From Three New Podcasts to Sound Up 2020, Here’s What’s New on the Podcast Front in Australia	FEBRUARY 27, 2020	https://newsroom.spotify.com/2020-02-27/from-three-new-podcasts-to-sound-up-2020-heres-whats-new-on-the-podcast-front-in-australia/
Spotify’s Sound Up Australia—Amplifying First Nations Voices for a Second Year	FEBRUARY 27, 2020	https://newsroom.spotify.com/2020-02-27/spotifys-sound-up-australia-amplifying-first-nations-voices-for-a-second-year/
3 Icons to Know in Spotify Mobile’s Refreshing New Look	FEBRUARY 27, 2020	https://newsroom.spotify.com/2020-02-27/3-icons-to-know-in-spotify-mobiles-refreshing-new-look/
3 Major Streaming Trends from Spotify’s First Year in India	FEBRUARY 27, 2020	https://newsroom.spotify.com/2020-02-27/3-major-streaming-trends-from-spotifys-first-year-in-india/
Céline Dion on Her New Album, ‘Courage,’ and How She Chose the Songs for Her Spotify Singles	FEBRUARY 26, 2020	https://newsroom.spotify.com/2020-02-26/celine-dion-on-her-new-album-courage-and-how-she-chose-the-songs-for-her-spotify-singles/
Comedian Rhys Darby Answers the Universe’s Most Extra Terrestrial Questions in New Spotify Exclusive Podcast ‘Aliens Like Us’	FEBRUARY 26, 2020	https://newsroom.spotify.com/2020-02-26/comedian-rhys-darby-answers-the-universes-most-extra-terrestrial-questions-in-new-spotify-exclusive-podcast-aliens-like-us/
The Power of Anchor-Made Podcasts in Indonesia: Spotify Highlights Top Shows, Including ‘Do You See What I See’	FEBRUARY 26, 2020	https://newsroom.spotify.com/2020-02-26/the-power-of-anchor-made-podcasts-in-indonesia-spotify-highlights-top-shows-including-do-you-see-what-i-see/
From BTS to BLACKPINK, the Power of K-Pop Has No Bounds	FEBRUARY 24, 2020	https://newsroom.spotify.com/2020-02-24/from-bts-to-blackpink-the-power-of-k-pop-has-no-bounds/
What’s New This Week in Spotify Podcasts	FEBRUARY 21, 2020	https://newsroom.spotify.com/2020-02-21/whats-new-this-week-in-spotify-podcasts-2/
Spotify Refreshes Popular Playlist New Music Friday with Global Rebrand	FEBRUARY 21, 2020	https://newsroom.spotify.com/2020-02-21/spotify-refreshes-popular-playlist-new-music-friday-with-global-rebrand/
Get to Know the Finalists for the 2020 Spotify Awards	FEBRUARY 19, 2020	https://newsroom.spotify.com/2020-02-19/get-to-know-the-finalists-for-the-2020-spotify-awards/
Conoce a los finalistas de los Spotify Awards 2020	FEBRUARY 19, 2020	https://newsroom.spotify.com/2020-02-19/conoce-a-los-finalistas-de-los-spotify-awards-2020/
Spotify Amplifies Year-round Celebration of Black History with ‘Phenomenal Black Music’ Campaign	FEBRUARY 19, 2020	https://newsroom.spotify.com/2020-02-19/spotify-amplifies-year-round-celebration-of-black-history-with-phenomenal-black-music-campaign/
Unwrapping Wrapped 2019: Spotify VP of Engineering Tyson Singer Explains	FEBRUARY 18, 2020	https://newsroom.spotify.com/2020-02-18/unwrapping-wrapped-2019-spotify-vp-of-engineering-tyson-singer-explains/
3 Ways We’ve Changed the Podcast Show Page to Help You Find New Shows You’ll Love, Faster	FEBRUARY 18, 2020	https://newsroom.spotify.com/2020-02-18/3-ways-weve-changed-the-podcast-show-page-to-help-you-find-new-shows-youll-love-faster/
Spotify’s New London HQ Opens Doors with Performances from Dermot Kennedy and Joy Crookes	FEBRUARY 17, 2020	https://newsroom.spotify.com/2020-02-17/spotifys-new-london-hq-opens-doors-with-performances-from-dermot-kennedy-and-joy-crookes/
‘Last Podcast on the Left’—Now Exclusively, and Scarily, on Spotify	FEBRUARY 14, 2020	https://newsroom.spotify.com/2020-02-14/last-podcast-on-the-left-now-exclusively-and-scarily-on-spotify/
What’s New This Week in Spotify Podcasts	FEBRUARY 14, 2020	https://newsroom.spotify.com/2020-02-14/whats-new-this-week-in-spotify-podcasts/
Celebration Expert Darcy Miller Shares Her Tips and Songs For Valentine’s Day	FEBRUARY 14, 2020	https://newsroom.spotify.com/2020-02-14/celebration-expert-darcy-miller-shares-her-tips-and-songs-for-valentines-day/
Berlin Hip-Hop Duo Hoe__mies Creates Space for Marginalized Voices with New Podcast ‘Realitäter*innen’	FEBRUARY 13, 2020	https://newsroom.spotify.com/2020-02-13/berlin-hip-hop-duo-hoe__mies-creates-space-for-marginalized-voices-with-new-podcast-realitaterinnen/
Preview the New Spotify Original Podcast ‘The Last Degree of Kevin Bacon’	FEBRUARY 12, 2020	https://newsroom.spotify.com/2020-02-12/preview-the-new-spotify-original-podcast-the-last-degree-of-kevin-bacon/
